generation,timestamp,elapsed_seconds,population_size,best_fitness,worst_fitness,avg_fitness,best_student_satisfaction,best_professor_satisfaction,best_fairness,avg_student_satisfaction,avg_professor_satisfaction,avg_fairness,total_capacity_violations,total_field_mismatches
0,2026-07-19T18:09:14.796624,0.0,100,0.0,0.0,0.0,0.638876,0.196402,0.107367,0.505841,0.1692,0.034538,948.0,1311
1,2026-07-19T18:09:15.154018,0.36,100,0.0,0.0,0.0,0.638876,0.196402,0.10721,0.527398,0.172933,0.026405,909.0,1246
2,2026-07-19T18:09:15.384827,0.59,100,0.0,0.0,0.0,0.638876,0.198604,0.10721,0.544058,0.178104,0.025982,889.0,1155
3,2026-07-19T18:09:15.710735,0.92,100,0.0,0.0,0.0,0.638876,0.199332,0.10721,0.556556,0.180357,0.024487,898.0,1102
4,2026-07-19T18:09:16.170073,1.37,100,0.0,0.0,0.0,0.638876,0.205561,0.072802,0.565338,0.178778,0.021531,869.0,1079
5,2026-07-19T18:09:16.743580,1.95,100,0.0,0.0,0.0,0.659233,0.205561,0.072802,0.559551,0.18082,0.021244,906.0,1082
6,2026-07-19T18:09:17.309475,2.51,100,0.0,0.0,0.0,0.659233,0.205561,0.076109,0.562199,0.183463,0.021072,908.0,1031
7,2026-07-19T18:09:17.820015,3.02,100,0.0,0.0,0.0,0.660741,0.205561,0.076109,0.56371,0.182724,0.020399,872.0,1023
8,2026-07-19T18:09:18.407946,3.61,100,0.0,0.0,0.0,0.666131,0.205561,0.076109,0.583439,0.185021,0.022296,869.0,880
9,2026-07-19T18:09:18.918442,4.12,100,0.0,0.0,0.0,0.683611,0.205561,0.084454,0.599682,0.188289,0.023666,847.0,754
10,2026-07-19T18:09:19.410839,4.62,100,0.0,0.0,0.0,0.683611,0.205561,0.090999,0.604839,0.189266,0.02462,851.0,709
11,2026-07-19T18:09:19.995419,5.2,100,0.0,0.0,0.0,0.683611,0.205843,0.090999,0.608101,0.190639,0.024633,825.0,705
12,2026-07-19T18:09:20.542858,5.75,100,0.0,0.0,0.0,0.7,0.205843,0.090999,0.606737,0.191477,0.026115,862.0,677
13,2026-07-19T18:09:21.058230,6.26,100,0.0,0.0,0.0,0.720139,0.205843,0.090999,0.607105,0.193133,0.022691,850.0,641
14,2026-07-19T18:09:21.635011,6.84,100,0.0,0.0,0.0,0.720139,0.206807,0.072121,0.605925,0.191665,0.019407,857.0,685
15,2026-07-19T18:09:22.118218,7.32,100,0.0,0.0,0.0,0.721825,0.206807,0.072121,0.621102,0.19418,0.01973,863.0,610
16,2026-07-19T18:09:22.652452,7.86,100,0.0,0.0,0.0,0.721825,0.206807,0.064093,0.628218,0.195595,0.018531,869.0,541
17,2026-07-19T18:09:23.199014,8.4,100,0.0,0.0,0.0,0.721825,0.207389,0.064093,0.630013,0.193953,0.017551,885.0,564
18,2026-07-19T18:09:23.677705,8.88,100,0.0,0.0,0.0,0.749028,0.207389,0.064093,0.635359,0.194772,0.016819,856.0,546
19,2026-07-19T18:09:24.183283,9.39,100,0.0,0.0,0.0,0.749028,0.207389,0.060582,0.642573,0.197274,0.015924,859.0,489
20,2026-07-19T18:09:24.667232,9.87,100,0.0,0.0,0.0,0.749028,0.207389,0.060354,0.642062,0.19794,0.014801,817.0,465
21,2026-07-19T18:09:25.167564,10.37,100,0.0,0.0,0.0,0.75377,0.207389,0.061872,0.635916,0.197075,0.01386,797.0,497
22,2026-07-19T18:09:25.664517,10.87,100,0.0,0.0,0.0,0.75377,0.207389,0.061872,0.645264,0.196913,0.012903,823.0,489
