generation,timestamp,elapsed_seconds,population_size,best_fitness,worst_fitness,avg_fitness,best_student_satisfaction,best_professor_satisfaction,best_fairness,avg_student_satisfaction,avg_professor_satisfaction,avg_fairness,total_capacity_violations,total_field_mismatches
0,2026-07-20T13:14:02.567682,0.0,50,0.190278,0.109031,0.152613,0.8,0.190278,0.062796,0.610176,0.152613,0.01825,75.0,240
1,2026-07-20T13:14:02.580762,0.01,50,0.190278,0.127582,0.1671,0.8,0.190278,0.067588,0.635687,0.1671,0.019631,84.0,194
2,2026-07-20T13:14:02.595288,0.03,50,0.190278,0.143338,0.174185,0.8,0.190278,0.076903,0.665812,0.174185,0.019162,63.0,161
3,2026-07-20T13:14:02.598179,0.03,50,0.190278,0.120293,0.178271,0.8,0.190278,0.067698,0.711073,0.178271,0.0217,38.0,120
4,2026-07-20T13:14:02.613491,0.05,50,0.190278,0.157823,0.180107,0.85,0.190278,0.06192,0.705206,0.180107,0.016856,42.0,99
5,2026-07-20T13:14:02.626970,0.06,50,0.190278,0.148651,0.180828,0.85,0.190278,0.04013,0.718126,0.180828,0.017113,52.0,76
6,2026-07-20T13:14:02.635641,0.07,50,0.190278,0.149953,0.181695,0.825,0.190278,0.070916,0.72321,0.181695,0.020984,47.0,68
7,2026-07-20T13:14:02.644978,0.08,50,0.190278,0.151302,0.184025,0.875,0.190278,0.069583,0.729899,0.184025,0.023806,50.0,48
8,2026-07-20T13:14:02.649682,0.08,50,0.190278,0.148422,0.182901,0.875,0.190278,0.067457,0.721279,0.182901,0.021593,55.0,48
9,2026-07-20T13:14:02.661865,0.09,50,0.190278,0.155308,0.184724,0.8,0.190278,0.072217,0.721489,0.184724,0.021242,51.0,41
10,2026-07-20T13:14:02.666715,0.1,50,0.190278,0.133183,0.182979,0.866667,0.190278,0.037026,0.700381,0.182979,0.016913,63.0,50
11,2026-07-20T13:14:02.682875,0.12,50,0.190278,0.153009,0.182629,0.8,0.190278,0.072831,0.687975,0.182629,0.017143,72.0,51
12,2026-07-20T13:14:02.682875,0.12,50,0.190278,0.157028,0.182204,0.8,0.190278,0.066525,0.698392,0.182204,0.015653,55.0,61
13,2026-07-20T13:14:02.701791,0.13,50,0.190278,0.158681,0.18686,0.8,0.190278,0.073259,0.712271,0.18686,0.016197,54.0,30
14,2026-07-20T13:14:02.713956,0.15,50,0.190278,0.148855,0.185509,0.85,0.190278,0.073259,0.723163,0.185509,0.018696,45.0,38
15,2026-07-20T13:14:02.718047,0.15,50,0.190278,0.144792,0.18337,0.9,0.190278,0.069097,0.718075,0.18337,0.02008,47.0,48
16,2026-07-20T13:14:02.726954,0.16,50,0.190278,0.153656,0.184086,0.9,0.190278,0.06653,0.731232,0.184086,0.02283,47.0,40
17,2026-07-20T13:14:02.740517,0.17,50,0.190278,0.133289,0.181353,0.9,0.190278,0.069648,0.735187,0.181353,0.0229,35.0,52
18,2026-07-20T13:14:02.749300,0.18,50,0.190278,0.151413,0.183657,0.825,0.190278,0.069807,0.73098,0.183657,0.0215,50.0,44
19,2026-07-20T13:14:02.758336,0.19,50,0.190278,0.145873,0.183587,0.825,0.190278,0.069807,0.73395,0.183587,0.023324,43.0,46
20,2026-07-20T13:14:02.760698,0.19,50,0.190278,0.159346,0.185104,0.825,0.190278,0.069931,0.727914,0.185104,0.022337,58.0,47
21,2026-07-20T13:14:02.771651,0.2,50,0.190278,0.147287,0.183939,0.85,0.190278,0.079314,0.723902,0.183939,0.022392,61.0,38
22,2026-07-20T13:14:02.789761,0.22,50,0.190278,0.161574,0.186369,0.825,0.190278,0.068077,0.714611,0.186369,0.019684,66.0,26
23,2026-07-20T13:14:02.797206,0.23,50,0.190278,0.145256,0.183439,0.8,0.190278,0.070949,0.698933,0.183439,0.021671,64.0,46
24,2026-07-20T13:14:02.805185,0.24,50,0.190278,0.147175,0.182097,0.8,0.190278,0.059004,0.70073,0.182097,0.018432,56.0,60
25,2026-07-20T13:14:02.813374,0.25,50,0.190278,0.151389,0.181747,0.8,0.190278,0.076893,0.705695,0.181747,0.022817,56.0,48
26,2026-07-20T13:14:02.827411,0.26,50,0.190278,0.14972,0.185652,0.8,0.190278,0.060653,0.706279,0.185652,0.019939,70.0,32
27,2026-07-20T13:14:02.830027,0.26,50,0.190278,0.14693,0.18445,0.825,0.190278,0.071081,0.710292,0.18445,0.018587,74.0,36
28,2026-07-20T13:14:02.846576,0.28,50,0.190278,0.14612,0.185013,0.825,0.190278,0.074582,0.70454,0.185013,0.021658,63.0,45
29,2026-07-20T13:14:02.854042,0.29,50,0.190278,0.157812,0.184795,0.825,0.190278,0.037923,0.688977,0.184795,0.017403,65.0,43
30,2026-07-20T13:14:02.860887,0.29,50,0.190278,0.152183,0.181578,0.8,0.190278,0.031606,0.68548,0.181578,0.016576,62.0,53
31,2026-07-20T13:14:02.860887,0.29,50,0.190278,0.166619,0.186173,0.825,0.190278,0.041259,0.713519,0.186173,0.017437,44.0,41
32,2026-07-20T13:14:02.886576,0.32,50,0.190278,0.16503,0.187305,0.825,0.190278,0.058999,0.723595,0.187305,0.017779,54.0,25
33,2026-07-20T13:14:02.897626,0.33,50,0.190278,0.156647,0.183236,0.8,0.190278,0.070672,0.695855,0.183236,0.023726,64.0,49
34,2026-07-20T13:14:02.905660,0.34,50,0.190278,0.146425,0.183577,0.85,0.190278,0.040715,0.70618,0.183577,0.019235,59.0,47
35,2026-07-20T13:14:02.911214,0.34,50,0.190278,0.154206,0.184571,0.825,0.190278,0.073017,0.7127,0.184571,0.022045,57.0,43
36,2026-07-20T13:14:02.916130,0.35,50,0.190278,0.157548,0.1824,0.825,0.190278,0.0736,0.697245,0.1824,0.026882,57.0,64
37,2026-07-20T13:14:02.932172,0.36,50,0.190278,0.146972,0.182451,0.825,0.190278,0.072952,0.692762,0.182451,0.022387,70.0,58
38,2026-07-20T13:14:02.940194,0.37,50,0.190278,0.152297,0.182749,0.8,0.190278,0.073259,0.69713,0.182749,0.023556,61.0,50
39,2026-07-20T13:14:02.948337,0.38,50,0.190278,0.154393,0.185005,0.8,0.190278,0.072928,0.701989,0.185005,0.024711,58.0,46
40,2026-07-20T13:14:02.948337,0.38,50,0.190278,0.155675,0.186774,0.825,0.190278,0.072568,0.692645,0.186774,0.024035,78.0,35
41,2026-07-20T13:14:02.961976,0.39,50,0.190278,0.153408,0.183785,0.8,0.190278,0.073761,0.680301,0.183785,0.023575,83.0,46
42,2026-07-20T13:14:03.006316,0.44,50,0.190278,0.148577,0.184765,0.8,0.190278,0.076014,0.691725,0.184765,0.022857,74.0,46
43,2026-07-20T13:14:03.030365,0.46,50,0.190278,0.146886,0.184206,0.85,0.190278,0.040728,0.70175,0.184206,0.021862,66.0,42
44,2026-07-20T13:14:03.048865,0.48,50,0.190278,0.150968,0.184387,0.80625,0.190278,0.046131,0.691456,0.184387,0.020134,69.0,50
45,2026-07-20T13:14:03.067176,0.5,50,0.190278,0.149241,0.183892,0.8,0.190278,0.072917,0.709654,0.183892,0.0222,59.0,42
46,2026-07-20T13:14:03.086734,0.52,50,0.190278,0.150024,0.18462,0.8,0.190278,0.032386,0.695879,0.18462,0.016481,83.0,41
47,2026-07-20T13:14:03.094884,0.53,50,0.190278,0.160532,0.184723,0.8,0.190278,0.066166,0.692774,0.184723,0.019792,64.0,51
48,2026-07-20T13:14:03.114730,0.55,50,0.190278,0.140567,0.182785,0.8,0.190278,0.071502,0.686127,0.182785,0.018181,82.0,46
49,2026-07-20T13:14:03.133939,0.57,50,0.190278,0.152183,0.183782,0.8,0.190278,0.064953,0.690624,0.183782,0.016312,80.0,46
50,2026-07-20T13:14:03.144738,0.58,50,0.190278,0.147946,0.183293,0.8,0.190278,0.036616,0.687558,0.183293,0.01503,86.0,46
51,2026-07-20T13:14:03.166227,0.6,50,0.190278,0.134656,0.184289,0.8,0.190278,0.032158,0.704127,0.184289,0.01588,80.0,39
52,2026-07-20T13:14:03.182391,0.61,50,0.190278,0.159152,0.184799,0.8,0.190278,0.031076,0.704588,0.184799,0.01661,82.0,41
53,2026-07-20T13:14:03.190532,0.62,50,0.190278,0.129405,0.181605,0.8,0.190278,0.068438,0.701083,0.181605,0.019807,73.0,47
54,2026-07-20T13:14:03.207067,0.64,50,0.190278,0.14855,0.185036,0.825,0.190278,0.070337,0.707893,0.185036,0.018268,63.0,41
55,2026-07-20T13:14:03.219198,0.65,50,0.190278,0.142206,0.182465,0.825,0.190278,0.032317,0.701232,0.182465,0.016675,81.0,46
56,2026-07-20T13:14:03.234193,0.67,50,0.190278,0.148587,0.185548,0.8,0.190278,0.078263,0.699824,0.185548,0.017464,84.0,46
57,2026-07-20T13:14:03.244543,0.68,50,0.190278,0.159109,0.185991,0.8,0.190278,0.070859,0.688565,0.185991,0.017074,94.0,34
58,2026-07-20T13:14:03.259184,0.69,50,0.190278,0.15319,0.183751,0.8,0.190278,0.071279,0.688013,0.183751,0.016566,83.0,36
59,2026-07-20T13:14:03.270892,0.7,50,0.190278,0.15397,0.183198,0.8,0.190278,0.059559,0.684335,0.183198,0.015235,104.0,38
60,2026-07-20T13:14:03.280734,0.71,50,0.190278,0.146065,0.182367,0.8,0.190278,0.020082,0.675161,0.182367,0.012809,105.0,53
61,2026-07-20T13:14:03.294402,0.73,50,0.190278,0.156424,0.183374,0.8,0.190278,0.064673,0.675826,0.183374,0.01463,101.0,53
62,2026-07-20T13:14:03.305806,0.74,50,0.190278,0.135991,0.181367,0.8,0.190278,0.032408,0.655724,0.181367,0.012215,124.0,69
63,2026-07-20T13:14:03.317074,0.75,50,0.190278,0.145367,0.182131,0.8,0.190278,0.032408,0.662318,0.182131,0.013232,118.0,59
64,2026-07-20T13:14:03.323098,0.76,50,0.190278,0.153323,0.183376,0.8,0.190278,0.030155,0.67937,0.183376,0.013626,100.0,44
65,2026-07-20T13:14:03.334884,0.77,50,0.190278,0.152183,0.184064,0.8,0.190278,0.063111,0.680929,0.184064,0.01404,97.0,47
66,2026-07-20T13:14:03.343016,0.78,50,0.190278,0.126736,0.181382,0.8,0.190278,0.064077,0.666248,0.181382,0.017881,105.0,58
67,2026-07-20T13:14:03.351095,0.78,50,0.190278,0.143309,0.180795,0.8,0.190278,0.068833,0.679776,0.180795,0.015915,89.0,57
68,2026-07-20T13:14:03.361406,0.79,50,0.190278,0.142352,0.182227,0.8,0.190278,0.063749,0.681487,0.182227,0.014322,80.0,57
69,2026-07-20T13:14:03.367904,0.8,50,0.190278,0.151389,0.183676,0.8,0.190278,0.065572,0.694454,0.183676,0.018577,73.0,40
70,2026-07-20T13:14:03.379240,0.81,50,0.190278,0.147494,0.18414,0.825,0.190278,0.06119,0.692181,0.18414,0.018058,78.0,39
71,2026-07-20T13:14:03.388336,0.82,50,0.190278,0.145893,0.181006,0.8,0.190278,0.068352,0.684356,0.181006,0.017442,75.0,58
72,2026-07-20T13:14:03.396844,0.83,50,0.190278,0.150617,0.183164,0.8,0.190278,0.034806,0.680545,0.183164,0.015596,81.0,52
73,2026-07-20T13:14:03.414193,0.85,50,0.190278,0.152414,0.184209,0.8,0.190278,0.067028,0.684692,0.184209,0.017125,88.0,39
74,2026-07-20T13:14:03.414193,0.85,50,0.190278,0.153514,0.18415,0.8,0.190278,0.031596,0.684819,0.18415,0.015402,74.0,47
75,2026-07-20T13:14:03.433984,0.87,50,0.190278,0.15081,0.184464,0.8,0.190278,0.03102,0.680119,0.184464,0.015122,89.0,47
76,2026-07-20T13:14:03.443224,0.88,50,0.190278,0.16604,0.186303,0.8,0.190278,0.027369,0.682238,0.186303,0.015455,93.0,29
77,2026-07-20T13:14:03.450528,0.88,50,0.190278,0.145226,0.181659,0.825,0.190278,0.036493,0.670279,0.181659,0.016479,88.0,51
78,2026-07-20T13:14:03.458764,0.89,50,0.190278,0.156655,0.183286,0.8,0.190278,0.078098,0.661192,0.183286,0.020611,90.0,55
79,2026-07-20T13:14:03.467103,0.9,50,0.190278,0.152629,0.184037,0.841667,0.190278,0.065985,0.671806,0.184037,0.018508,100.0,46
80,2026-07-20T13:14:03.479029,0.91,50,0.190278,0.141634,0.182661,0.8,0.190278,0.056678,0.681238,0.182661,0.014836,90.0,57
81,2026-07-20T13:14:03.489570,0.92,50,0.190278,0.155442,0.182863,0.85,0.190278,0.067324,0.679908,0.182863,0.018666,85.0,55
82,2026-07-20T13:14:03.500699,0.93,50,0.190278,0.143616,0.182009,0.8,0.190278,0.060273,0.687018,0.182009,0.016869,74.0,66
83,2026-07-20T13:14:03.512868,0.95,50,0.190278,0.149377,0.180759,0.8,0.190278,0.06411,0.676971,0.180759,0.019195,74.0,80
84,2026-07-20T13:14:03.520752,0.95,50,0.190278,0.138375,0.179976,0.8,0.190278,0.074781,0.69406,0.179976,0.021028,67.0,65
85,2026-07-20T13:14:03.528061,0.96,50,0.190278,0.155808,0.18044,0.8,0.190278,0.077595,0.69443,0.18044,0.0195,61.0,71
