generation,timestamp,elapsed_seconds,population_size,best_fitness,worst_fitness,avg_fitness,best_student_satisfaction,best_professor_satisfaction,best_fairness,avg_student_satisfaction,avg_professor_satisfaction,avg_fairness,total_capacity_violations,total_field_mismatches
0,2026-07-19T17:49:31.080956,0.0,100,-0.226129,-2.049984,-1.140391,0.638876,0.196402,0.107367,0.505841,0.1692,0.034538,948.0,1311
1,2026-07-19T17:49:31.266505,0.19,100,-0.226129,-1.876755,-0.955607,0.61178,0.195454,0.105358,0.502141,0.169484,0.033782,719.0,1397
2,2026-07-19T17:49:31.456013,0.38,100,-0.226129,-1.786204,-0.883623,0.587117,0.195957,0.071872,0.500577,0.173292,0.033352,654.0,1385
3,2026-07-19T17:49:31.777199,0.7,100,-0.226129,-1.776792,-0.849792,0.583804,0.197682,0.082873,0.506359,0.175549,0.032773,623.0,1386
4,2026-07-19T17:49:32.003362,0.92,100,-0.226129,-1.429082,-0.80312,0.592243,0.20162,0.095385,0.505019,0.175395,0.03393,591.0,1355
5,2026-07-19T17:49:32.178080,1.1,100,-0.205983,-1.393296,-0.755287,0.611694,0.20162,0.086185,0.507303,0.176438,0.033919,567.0,1310
6,2026-07-19T17:49:32.383513,1.3,100,-0.205983,-1.535134,-0.725168,0.58641,0.194232,0.086185,0.506017,0.176764,0.036399,511.0,1360
7,2026-07-19T17:49:32.558771,1.48,100,-0.066373,-1.551273,-0.768579,0.604161,0.199189,0.090097,0.504482,0.176514,0.032387,511.0,1447
8,2026-07-19T17:49:32.760630,1.68,100,-0.066373,-1.613802,-0.745568,0.581807,0.197359,0.084947,0.506052,0.177138,0.031721,526.0,1373
9,2026-07-19T17:49:32.947376,1.87,100,-0.066373,-1.521947,-0.72378,0.60635,0.196187,0.085469,0.502205,0.177328,0.035464,499.0,1379
10,2026-07-19T17:49:33.118153,2.04,100,-0.066373,-1.321208,-0.746259,0.60635,0.203852,0.106028,0.503976,0.176957,0.033161,520.0,1384
11,2026-07-19T17:49:33.424383,2.34,100,-0.066373,-1.471034,-0.690665,0.628287,0.197208,0.105463,0.513661,0.179845,0.035336,505.0,1312
12,2026-07-19T17:49:33.593364,2.51,100,-0.066373,-1.561322,-0.62209,0.63971,0.198839,0.071806,0.51851,0.180142,0.035254,469.0,1251
13,2026-07-19T17:49:33.815870,2.73,100,-0.066373,-1.175448,-0.570984,0.621237,0.199686,0.062033,0.518566,0.180646,0.033344,454.0,1180
14,2026-07-19T17:49:34.046789,2.97,100,-0.066373,-1.31945,-0.551929,0.608043,0.200137,0.066048,0.514906,0.179592,0.03614,421.0,1203
15,2026-07-19T17:49:34.252769,3.17,100,-0.008453,-1.179191,-0.48446,0.608274,0.201658,0.071314,0.513477,0.180625,0.035505,364.0,1182
16,2026-07-19T17:49:34.472947,3.39,100,-0.00571,-1.220774,-0.473017,0.568963,0.196035,0.069934,0.516123,0.179501,0.033831,346.0,1197
17,2026-07-19T17:49:34.677553,3.6,100,-0.00571,-1.108317,-0.444983,0.56516,0.194748,0.090184,0.517357,0.180356,0.035343,327.0,1180
18,2026-07-19T17:49:34.852613,3.77,100,-0.00571,-0.950207,-0.374624,0.568333,0.194748,0.06791,0.519761,0.180776,0.034192,267.0,1162
19,2026-07-19T17:49:35.042721,3.96,100,0.091736,-1.109212,-0.373727,0.569141,0.194855,0.063363,0.522853,0.181012,0.033867,279.0,1139
20,2026-07-19T17:49:35.215733,4.13,100,0.091736,-1.200478,-0.391168,0.578897,0.199136,0.073976,0.521542,0.180078,0.03408,287.0,1156
21,2026-07-19T17:49:35.454880,4.37,100,0.147822,-1.274018,-0.36233,0.582811,0.20017,0.057648,0.52745,0.182728,0.032005,283.0,1114
22,2026-07-19T17:49:35.640078,4.56,100,0.147822,-1.122548,-0.362089,0.575934,0.196177,0.060548,0.528987,0.183664,0.033249,304.0,1073
23,2026-07-19T17:49:35.814458,4.73,100,0.147822,-0.924964,-0.308411,0.577197,0.198068,0.064753,0.53291,0.181822,0.031521,255.0,1066
24,2026-07-19T17:49:35.996561,4.92,100,0.147822,-1.286874,-0.324655,0.578493,0.196177,0.053209,0.532573,0.182017,0.029956,268.0,1073
25,2026-07-19T17:49:36.190097,5.11,100,0.197475,-0.880332,-0.237206,0.570901,0.196952,0.049658,0.533406,0.183289,0.029421,210.0,1016
26,2026-07-19T17:49:36.370823,5.29,100,0.197475,-1.022088,-0.316771,0.569604,0.194376,0.081971,0.530064,0.18286,0.029702,257.0,1078
27,2026-07-19T17:49:36.546641,5.47,100,0.197475,-1.205675,-0.362955,0.566608,0.194376,0.064396,0.528545,0.182398,0.03166,292.0,1098
28,2026-07-19T17:49:36.716773,5.64,100,0.197475,-1.42001,-0.342805,0.573157,0.194376,0.053102,0.529625,0.182289,0.030354,278.0,1087
29,2026-07-19T17:49:36.907304,5.83,100,0.197475,-1.166962,-0.316249,0.581423,0.19582,0.076608,0.533416,0.181552,0.031179,276.0,1040
30,2026-07-19T17:49:37.078503,6.0,100,0.197475,-1.031444,-0.247745,0.592534,0.194573,0.078106,0.537368,0.182507,0.030975,239.0,981
31,2026-07-19T17:49:37.270374,6.19,100,0.19821,-0.88092,-0.196551,0.592534,0.194573,0.061995,0.542307,0.185176,0.030222,225.0,913
32,2026-07-19T17:49:37.442239,6.36,100,0.19821,-0.934172,-0.236781,0.592534,0.194573,0.062395,0.541304,0.184439,0.030392,244.0,954
33,2026-07-19T17:49:37.607936,6.53,100,0.19821,-0.977,-0.212348,0.58471,0.194624,0.056983,0.544493,0.184511,0.02975,234.0,928
34,2026-07-19T17:49:37.767967,6.69,100,0.19821,-1.000791,-0.165463,0.582534,0.199856,0.059543,0.545761,0.185282,0.029402,204.0,896
35,2026-07-19T17:49:37.937028,6.86,100,0.254944,-0.85704,-0.132612,0.581296,0.198709,0.049865,0.543833,0.186048,0.027821,176.0,886
36,2026-07-19T17:49:38.100089,7.02,100,0.254944,-1.0598,-0.169479,0.595438,0.200049,0.057123,0.542865,0.185103,0.02833,197.0,916
37,2026-07-19T17:49:38.276513,7.2,100,0.254944,-0.990903,-0.185849,0.582685,0.195765,0.057327,0.545348,0.184957,0.029853,223.0,898
38,2026-07-19T17:49:38.452490,7.37,100,0.254944,-0.817535,-0.143684,0.59096,0.198834,0.053504,0.548402,0.185665,0.029052,198.0,867
39,2026-07-19T17:49:38.629561,7.55,100,0.254944,-0.878287,-0.191839,0.589444,0.195765,0.05818,0.547499,0.183592,0.028875,222.0,913
40,2026-07-19T17:49:38.804606,7.72,100,0.254944,-1.011615,-0.219128,0.586667,0.195765,0.063888,0.545807,0.183457,0.02917,237.0,936
41,2026-07-19T17:49:39.012886,7.93,100,0.254944,-1.102689,-0.218088,0.588367,0.196972,0.058461,0.54677,0.184229,0.029936,243.0,923
42,2026-07-19T17:49:39.211362,8.13,100,0.257966,-1.246657,-0.132851,0.602659,0.197583,0.057058,0.554963,0.186753,0.030186,206.0,835
