generation,timestamp,elapsed_seconds,population_size,best_fitness,worst_fitness,avg_fitness,best_student_satisfaction,best_professor_satisfaction,best_fairness,avg_student_satisfaction,avg_professor_satisfaction,avg_fairness,total_capacity_violations,total_field_mismatches
0,2026-07-20T12:54:58.309335,0.0,30,-0.644454,-1.812514,-1.128346,0.638876,0.196402,0.10721,0.506068,0.17107,0.037672,292.0,371
1,2026-07-20T12:54:58.355160,0.05,30,-0.407306,-1.43106,-0.873513,0.638876,0.19485,0.101375,0.517245,0.174728,0.034842,222.0,362
2,2026-07-20T12:54:58.439098,0.13,30,-0.398673,-1.373912,-0.837992,0.624558,0.190301,0.082178,0.518561,0.168137,0.030023,207.0,370
3,2026-07-20T12:54:58.535983,0.23,30,-0.203507,-1.235246,-0.671936,0.615821,0.19217,0.054155,0.54696,0.172888,0.024373,190.0,313
4,2026-07-20T12:54:58.600739,0.29,30,-0.130305,-1.212473,-0.607033,0.631654,0.198218,0.062154,0.541926,0.173901,0.025155,178.0,297
5,2026-07-20T12:54:58.661908,0.35,30,-0.028598,-1.051471,-0.517178,0.631654,0.191368,0.042065,0.558352,0.172034,0.021663,163.0,277
6,2026-07-20T12:54:58.725810,0.42,30,-0.028598,-1.10426,-0.475768,0.639293,0.191368,0.066846,0.581867,0.170108,0.024458,156.0,271
7,2026-07-20T12:54:58.791428,0.48,30,-0.003138,-0.857948,-0.382341,0.657454,0.191368,0.060068,0.5885,0.175134,0.022306,133.0,264
8,2026-07-20T12:54:58.860961,0.55,30,-0.003138,-1.070763,-0.392114,0.654571,0.191368,0.030079,0.586747,0.175702,0.0188,139.0,258
9,2026-07-20T12:54:58.927136,0.62,30,-0.003138,-1.238186,-0.450212,0.62875,0.199676,0.040858,0.577156,0.174378,0.020794,135.0,298
10,2026-07-20T12:54:58.998770,0.69,30,0.030209,-1.440509,-0.432848,0.643194,0.199676,0.04697,0.581291,0.176296,0.021078,138.0,283
11,2026-07-20T12:54:59.064335,0.76,30,0.030209,-1.235016,-0.395267,0.643194,0.196052,0.035101,0.581478,0.174314,0.021249,130.0,276
12,2026-07-20T12:54:59.141103,0.83,30,0.078235,-1.260202,-0.433714,0.643194,0.192411,0.041898,0.57639,0.171602,0.022889,131.0,295
13,2026-07-20T12:54:59.206493,0.9,30,0.127162,-1.115197,-0.309258,0.645417,0.194877,0.054259,0.595569,0.176631,0.024025,104.0,280
14,2026-07-20T12:54:59.280320,0.97,30,0.127162,-0.772821,-0.240226,0.645417,0.194877,0.051531,0.60713,0.180441,0.026273,88.0,274
15,2026-07-20T12:54:59.337350,1.03,30,0.17048,-0.977954,-0.232274,0.651528,0.194903,0.049534,0.607279,0.182987,0.025233,89.0,268
16,2026-07-20T12:54:59.389049,1.08,30,0.173785,-0.810868,-0.213793,0.663194,0.191263,0.050356,0.609689,0.180641,0.024628,80.0,275
17,2026-07-20T12:54:59.455359,1.15,30,0.173785,-0.969699,-0.229399,0.644861,0.191263,0.042772,0.601992,0.182284,0.023879,77.0,289
18,2026-07-20T12:54:59.525244,1.22,30,0.173785,-0.811484,-0.191325,0.643194,0.194795,0.046075,0.608158,0.183141,0.022554,71.0,280
19,2026-07-20T12:54:59.574460,1.27,30,0.173785,-0.716326,-0.246507,0.644861,0.192027,0.048119,0.601748,0.181862,0.024758,79.0,295
20,2026-07-20T12:54:59.646835,1.34,30,0.173785,-0.930343,-0.199744,0.654306,0.192027,0.038997,0.602455,0.181203,0.024369,63.0,299
